scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,363.16217136383057,124.33911231160164,1.0,368.4400918483734,126.05144667625427,0.023823803290724754,234.85909986495972,84.17538833618164,1.0,441.5134868621826,118.81285238265991,1.0,200.01892232894897,242.75863790512085,0.9999997615814209
1,361.78916215896606,124.96086555719376,1.0,228.72021102905273,119.08994960784912,1.0,246.86184525489807,69.09413409233093,1.0,441.44564294815063,118.93823599815369,1.0,200.84592962265015,242.46916949748993,1.0
2,361.7349627017975,125.33038997650146,1.0,234.4550905227661,115.42417764663696,1.0,249.87707138061523,52.2326799929142,1.0,442.14241123199463,119.37966322898865,1.0,203.54266452789307,241.02395963668823,1.0
3,360.6835525035858,125.13808631896973,1.0,234.8355827331543,114.5922966003418,1.0,262.07090163230896,35.134926319122314,1.0,442.17514657974243,118.92410564422607,1.0,202.7528419494629,241.78469038009644,1.0
4,360.17495107650757,125.81903171539307,1.0,246.25392651557922,86.3298487663269,1.0,272.27518939971924,22.05673122406006,1.0,441.6592297554016,119.47230577468872,1.0,202.94491910934448,242.17507123947144,1.0
5,360.7114200592041,125.01673412322998,1.0,255.91055870056152,108.89042788743973,1.0,279.85515451431274,16.663692474365234,1.0,441.7665739059448,119.44723272323608,1.0,201.68931818008423,241.16437244415283,1.0
6,360.2029490470886,125.17472648620605,1.0,255.02547311782837,105.13353157043457,1.0,280.0550651550293,9.335848808288574,0.9999980926513672,441.3178277015686,119.63924264907837,1.0,201.52029848098755,240.91397905349731,1.0
7,361.77552795410156,127.20770597457886,1.0,253.9331840276718,107.34855461120605,0.9994531273841858,273.0827581882477,3.129727840423584,0.10384084284305573,442.0406036376953,119.62503361701965,1.0,201.08444118499756,241.33238554000854,1.0
8,360.7698302268982,129.76402807235718,1.0,252.38347762823105,107.98129692673683,0.997205913066864,258.78392469882965,1.6283299922943115,0.0003514185082167387,441.8777012825012,119.40010094642639,1.0,201.4717674255371,240.2693691253662,1.0
9,361.8749222755432,131.89623308181763,1.0,250.20118188858032,110.87973403930664,0.9999812841415405,247.16284084320068,14.303833246231079,0.99782395362854,441.9918942451477,119.06475138664246,1.0,201.75967741012573,241.11853885650635,1.0
10,362.4229760169983,133.67757308483124,1.0,250.3146457672119,110.88985562324524,1.0,244.7066655755043,24.43329954147339,0.9998838901519775,442.33910846710205,119.41733741760254,1.0,201.0666937828064,240.5591459274292,1.0
11,362.7418336868286,135.00262928009033,1.0,247.46789598464966,111.35490036010742,0.9999998807907104,234.02302837371826,29.651552438735962,1.0,441.9878692626953,119.76048612594604,1.0,200.7629656791687,241.62015581130981,1.0
12,360.6929793357849,134.9717938899994,1.0,247.06600785255432,110.85902690887451,0.611140251159668,223.97149991989136,43.691339164972305,0.9999983310699463,441.8434581756592,120.16882181167603,1.0,201.4564642906189,241.68760013580322,1.0
13,327.92023372650146,114.96559858322144,1.0,244.16207520663738,111.23051023483276,0.9999871253967285,216.63940382003784,43.723488330841064,1.0,442.97917568683624,120.43496561050415,1.0,201.28278398513794,241.2720742225647,1.0
14,331.3819375038147,121.55962228775024,1.0,243.75921012461185,112.86792945861816,1.0,233.6651735305786,47.859034299850464,1.0,441.4477467536926,119.90446639060974,1.0,200.9201898574829,242.08387184143066,1.0
15,334.26075530052185,123.34451723098755,1.0,340.50816679000854,124.4180069565773,0.005402511917054653,230.16464233398438,48.73004388809204,1.0,442.3973398208618,120.28877067565918,1.0,202.04202270507812,241.55050706863403,1.0
16,334.7309718132019,125.82664668560028,1.0,340.606409072876,125.60223376750946,0.03686442971229553,208.62475633621216,62.7308611869812,1.0,441.390239238739,120.34469652175903,1.0,201.60238122940063,241.7128176689148,1.0
17,334.99806118011475,126.7276451587677,1.0,340.65661334991455,128.59315156936646,0.015464011579751968,206.6267397403717,69.14591312408447,1.0,441.31303119659424,120.19296741485596,1.0,200.62240362167358,241.26259326934814,1.0
18,335.7954077720642,128.06134128570557,1.0,340.9188160896301,129.61361718177795,0.11578603088855743,201.47773218154907,73.73621940612793,1.0,442.90077018737793,121.0933632850647,1.0,201.6130256652832,242.35448122024536,1.0
19,335.9599871635437,129.0482635498047,1.0,340.91680669784546,130.45592093467712,0.04945272207260132,192.04257535934448,71.51180386543274,1.0,444.7141306400299,123.28331708908081,1.0,201.57972192764282,242.02761363983154,1.0
20,336.5522084236145,129.23594617843628,1.0,341.31473779678345,131.3110277056694,0.001695785322226584,198.58016324043274,76.27734279632568,1.0,440.90303659439087,121.5759449005127,1.0,202.16697549819946,242.45412492752075,1.0
21,334.51193022727966,131.138041973114,1.0,340.4172773361206,132.11359618604183,0.0039343214593827724,197.06041884422302,81.34094190597534,1.0,440.6635332107544,119.74620509147644,1.0,202.73505926132202,242.86308336257935,1.0
22,333.0455496311188,132.51520538330078,1.0,339.0224847793579,133.21713316440582,0.01549545582383871,199.06139969825745,92.30823707580566,1.0,439.57023215293884,119.75475263595581,1.0,201.6142816543579,241.87075281143188,1.0
